41
0,17
0,7
0,18
0,78
0,2
0,85
0,21
0,91
0,23
0,96
0,24
1
0,25
1,02
0,27
1,1
0,3
1,19
0,32
1,24
0,33
1,27
0,35
1,31
0,37
1,36
0,4
1,44
0,45
1,5
0,48
1,55
0,54
1,63
0,61
1,71
0,71
1,79
0,87
1,85
0,97
1,9
1
2,01
1,22
2,14
1,37
2,24
1,48
2,32
1,59
2,39
1,66
2,43
1,81
2,53
1,93
2,63
2,15
2,75
2,3
2,84
2,48
2,96
2,61
3,02
2,7
3,08
2,93
3,21
3,18
3,35
3,34
3,44
3,38
3,46
3,48
3,5
3,65
3,6
4
3,77
27
0,08
0,57
0,09
0,64
0,1
0,73
0,11
0,79
0,12
0,84
0,14
0,89
0,16
1,01
0,18
1,12
0,2
1,17
0,22
1,26
0,24
1,32
0,29
1,44
0,4
1,58
0,49
1,73
0,68
1,92
0,9
2,05
1,07
2,16
1,25
2,31
1,5
2,47
1,7
2,61
1,91
2,75
2,21
2,94
2,55
3,13
2,7
3,24
3,1
3,34
3,32
3,43
3,51
3,52
27
0,08
0,52
0,09
0,58
0,11
0,67
0,12
0,76
0,13
0,81
0,16
0,94
0,18
1,06
0,2
1,14
0,24
1,26
0,27
1,35
0,29
1,4
0,34
1,51
0,46
1,7
0,56
1,81
0,74
1,92
0,84
1,99
0,99
2,09
1,17
2,24
1,33
2,35
1,42
2,41
1,7
2,6
1,99
2,8
2,15
2,99
2,42
3,06
2,58
3,16
3,31
3,59
3,51
3,7
